date,Unnamed: 0,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,vix,dxy
2025-04-25 08:00:00,77,3304.11,3313.54,3303.38,3306.52,151,-0.0007772522168322,-0.0041221586441334,0.0053076950993795,0.0127384682385105,0.0068198589453565,downward,89.0,,,,24.84,122.8858
2025-04-25 09:00:00,78,3306.0,3307.38,3291.76,3302.72,148,0.0011505668055422,0.0003724203081096,0.006567314213739,0.0162714368762717,0.0085959451603527,downward,90.0,-1.0,-1.0,1.0,24.84,122.8858
2025-04-25 10:00:00,79,3303.81,3308.23,3292.01,3292.52,156,0.0030979310679963,0.0042520622501913,0.0001123759308978,0.0157326303257079,0.0133089548430989,range,87.0,-1.0,-1.0,1.0,24.84,122.8858
2025-04-25 11:00:00,80,3292.59,3305.91,3292.59,3297.87,156,-0.0016222592157968,0.0014706462049747,0.0018436142115971,0.0150005912907422,0.011225427321271,downward,89.0,-1.0,-1.0,1.0,24.84,122.8858
2025-04-25 12:00:00,81,3299.77,3300.75,3288.63,3293.77,155,0.0012447742252799,-0.0003795043369755,0.0038709442371507,0.0091991851282877,0.0147672727603931,range,97.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-25 13:00:00,82,3293.78,3302.49,3291.31,3292.92,155,0.0002581295628196,0.0015032251011259,0.0029760820183908,0.0095629410978705,0.0168664893164729,range,97.0,-1.0,1.0,1.0,24.84,122.8858
2025-04-25 14:00:00,83,3288.87,3292.83,3265.88,3281.19,149,0.0035749225128687,0.0038339748688738,0.0034530155218075,0.003565779488539,0.0205443756685836,upward,97.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-25 15:00:00,84,3278.7,3285.95,3275.42,3277.89,152,0.0010067451927917,0.0045852667417149,0.0060953845309024,0.007950236280046,0.0271272068312238,range,99.0,1.0,1.0,1.0,24.84,122.8858
2025-04-25 16:00:00,85,3278.6,3284.93,3270.67,3283.0,155,-0.0015565031982942,-0.000551325007615,0.0032805360950349,0.0071641791044776,0.0199939080109654,range,99.0,-1.0,1.0,1.0,24.84,122.8858
2025-04-25 17:00:00,86,3283.15,3287.17,3280.35,3285.17,157,-0.0006605442031919,-0.0022160192623212,0.0023590864399711,0.0053421892930958,0.0217005512652312,upward,99.0,-1.0,1.0,1.0,24.84,122.8858
2025-04-25 18:00:00,87,3284.81,3294.88,3282.19,3293.08,156,-0.0024020066320891,-0.0030609642037241,-0.0036106016252261,-0.0001700535668734,0.0155599013689313,upward,96.0,-1.0,1.0,1.0,24.84,122.8858
2025-04-25 19:00:00,88,3292.37,3296.57,3288.43,3288.43,158,0.0014140486493554,-0.0009913545369674,-0.003205176938539,0.0028706708064334,0.0179143238566732,range,97.0,,,,24.84,122.8858
2025-04-25 20:00:00,89,3288.73,3311.82,3288.01,3304.57,152,-0.0048841452897049,-0.0034770030593995,-0.0065273242812227,-0.0032682013090962,0.0059009190303125,range,,,,,24.84,122.8858
2025-04-25 21:00:00,90,3305.19,3318.62,3304.3,3318.62,154,-0.0042336874966099,-0.0090971548414702,-0.010079490872712,-0.0077441828229806,0.0017447011107025,downward,96.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-27 22:00:00,91,3318.62,3330.95,3318.62,3330.95,2,-0.0037016466773742,-0.0079196625587293,-0.0113691289271828,-0.0149386811570272,-0.0114261697113435,downward,,,,,24.84,122.8858
2025-04-28 02:00:00,92,3288.37,3325.39,3280.01,3280.01,31,0.0155304404559741,0.0117713055752877,0.0025670653443128,-0.0006463394928675,0.007298758235493,range,88.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 03:00:00,93,3280.55,3285.51,3270.82,3281.88,41,-0.0005697953611953,0.0149517959218494,0.0069137201847722,0.0003412678099137,0.0075078918181041,range,89.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 04:00:00,94,3283.42,3292.84,3281.75,3282.8,5,-0.0002802485682953,-0.0008498842451565,0.0109114170829778,0.0007219446813695,0.0060679907396123,upward,89.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 07:00:00,95,3290.02,3293.65,3288.54,3292.8,12,-0.0030369290573372,-0.0033163265306123,0.0115858843537413,8.503401360537843e-05,-8.503401360548946e-05,range,93.0,-1.0,-1.0,-1.0,24.84,122.8858
2025-04-28 09:00:00,96,3283.01,3292.42,3279.23,3282.09,64,0.0032631646298548,0.0002163255730343,-0.0006337425238186,0.0019316959620241,0.0048079120316626,upward,90.0,-1.0,-1.0,-1.0,24.84,122.8858
2025-04-28 10:00:00,97,3282.43,3286.82,3274.87,3274.98,157,0.0021710056244619,0.0054412546030815,0.0021068830954693,0.0090351696804256,0.0057374396179519,upward,91.0,,,,24.84,122.8858
2025-04-28 11:00:00,98,3274.88,3291.27,3273.53,3289.79,151,-0.0045018071062286,-0.0023405749303146,-0.0021247556834934,0.0087634773040223,0.0009514285106344,upward,94.0,-1.0,-1.0,1.0,24.84,122.8858
2025-04-28 12:00:00,99,3288.41,3296.94,3285.31,3293.92,154,-0.0012538252295137,-0.0057499878564142,-0.000340020401224,0.0112419245154709,-0.0038646961674843,upward,85.0,-1.0,-1.0,1.0,24.84,122.8858
2025-04-28 13:00:00,100,3296.11,3301.45,3292.76,3296.43,154,-0.0007614297891961,-0.0020143003188297,-0.0043501606283159,-0.004981146270359,-0.0056242662516722,upward,89.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 14:00:00,101,3295.18,3300.94,3287.27,3293.03,152,0.0010324837611559,0.0002702678080672,-0.0054812740849613,-0.0033859393932031,-0.0030458270954106,upward,82.0,-1.0,1.0,1.0,24.84,122.8858
2025-04-28 15:00:00,102,3296.84,3332.51,3291.47,3328.31,151,-0.0105999741610606,-0.0095784347010945,-0.011573441175852,-0.0136736061244294,-0.0129615330302765,range,81.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 16:00:00,103,3327.72,3335.81,3319.44,3324.88,151,0.001031616178629,-0.0095792930872692,-0.0093116142537474,-0.0096484685161569,-0.0095642549505546,upward,,,,,24.84,122.8858
2025-04-28 17:00:00,104,3325.47,3338.93,3324.66,3336.44,151,-0.003464770833583,-0.0024367289686012,-0.0119918236203858,-0.0162898178897267,-0.0143895889031423,range,83.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 18:00:00,105,3336.63,3339.54,3333.69,3335.49,150,0.0002848157242265,-0.0031809419305708,-0.0127297638427935,-0.0181412626030956,-0.0092700023085062,range,83.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 19:00:00,106,3335.45,3349.19,3333.99,3348.54,152,-0.0038972208783529,-0.0036135151439133,-0.006041438955485,-0.0175449598929682,-0.0089352374467678,downward,88.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 20:00:00,107,3348.87,3352.69,3345.44,3351.91,154,-0.0010053969229483,-0.0048986995474222,-0.0080640589991973,-0.0173005838462249,-0.0062531511884269,downward,92.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-28 21:00:00,108,3351.47,3352.69,3341.2,3343.87,160,0.0024043996925717,0.0013965853935709,-0.0022219763328119,-0.014187154404926,-0.0190976323840339,downward,,,,,24.84,122.8858
2025-04-28 22:00:00,109,3343.87,3343.87,3342.21,3342.21,2,0.0004966773482215,0.0029022712516568,-0.0020106456506324,-0.0147148144491219,-0.0180509303724182,downward,93.0,1.0,1.0,1.0,24.84,122.8858
2025-04-28 23:00:00,110,3345.92,3347.24,3331.4,3337.94,162,0.001279232101236,0.0017765448150655,0.0031756113051761,-0.0028850129121554,-0.0165191705063602,downward,97.0,1.0,-1.0,1.0,24.84,122.8858
2025-04-29 00:00:00,111,3339.74,3342.08,3333.8,3337.66,169,8.389110934015065e-05,0.0013632305267763,0.0042694582432003,-0.0038290299191648,-0.0134405541606993,downward,92.0,1.0,-1.0,-1.0,24.17,122.5944
2025-04-29 01:00:00,112,3337.39,3338.41,3327.2,3329.35,166,0.0024959826993256,0.0025800831994233,0.0043612116479192,0.0021295448060432,-0.0141949629807619,downward,83.0,1.0,1.0,-1.0,24.17,122.5944
2025-04-29 02:00:00,113,3327.09,3338.22,3322.97,3326.67,151,0.0008056104152198,0.0033036039042044,0.0046713380046712,0.0026512999485972,-0.0155380605831056,downward,85.0,1.0,1.0,-1.0,24.17,122.5944
2025-04-29 03:00:00,114,3325.2,3333.26,3320.21,3321.04,155,0.0016952520897068,0.0025022282176667,0.0050887673740755,0.0082805386264543,-0.0094097029846071,range,87.0,1.0,1.0,-1.0,24.17,122.5944
2025-04-29 04:00:00,115,3322.1,3322.1,3308.44,3315.6,156,0.0016407286765593,0.0033387622149838,0.0066533960670769,0.010951260706961,-0.0065387863433465,range,89.0,1.0,1.0,-1.0,24.17,122.5944
